BAT_ID,AVG_SEASON,ATBAT,HITS,MLE,FULLNAME,MCMC
jennd002,0.252371916508539,62,15,0.241935483870968,Desmond Jennings,0.269608446449015
johnc003,0.321011673151751,51,21,0.411764705882353,Chris Johnson,0.304365478473769
jonea003,0.284839203675345,64,24,0.375,Adam Jones,0.301566681887043
kinsi001,0.277064220183486,57,18,0.315789473684211,Ian Kinsler,0.285395358169316
laroa001,0.23679060665362,44,8,0.181818181818182,Adam LaRoche,0.262175515940036
lonej001,0.298724954462659,39,12,0.307692307692308,James Loney,0.28242071866883
longe001,0.268729641693811,57,16,0.280701754385965,Evan Longoria,0.278619560395552
lowrj001,0.290215588723051,63,26,0.412698412698413,Jed Lowrie,0.308732659950708
lucrj001,0.280230326295585,50,13,0.26,Jonathan Lucroy,0.274553851774364
machm001,0.28335832083958,63,16,0.253968253968254,Manny Machado,0.27297214121134
markn001,0.271293375394322,63,20,0.317460317460317,Nick Markakis,0.286772335951034
marts002,0.280392156862745,63,21,0.333333333333333,Starling Marte,0.291510767065523
martv001,0.300826446280992,56,12,0.214285714285714,Victor Martinez,0.264946761583061
mccua001,0.317324185248714,58,15,0.258620689655172,Andrew McCutchen,0.273844037863531
mclon001,0.258003766478343,45,11,0.244444444444444,Nate McLouth,0.272290594427401
moliy001,0.318811881188119,60,18,0.3,Yadier Molina,0.282186762727972
morak001,0.277408637873754,61,16,0.262295081967213,Kendry Morales,0.275255886400651
mornj001,0.258741258741259,52,15,0.288461538461538,Justin Morneau,0.279163268006674
murpd006,0.285714285714286,57,20,0.350877192982456,Daniel Murphy,0.293276519531199
parrg001,0.267886855241265,72,21,0.291666666666667,Gerardo Parra,0.28123990403167
pedrd001,0.301092043681747,58,18,0.310344827586207,Dustin Pedroia,0.284258771446514
pench001,0.282988871224165,68,18,0.264705882352941,Hunter Pence,0.274310042376999
philb001,0.260726072607261,67,21,0.313432835820896,Brandon Phillips,0.286457807193532
piera001,0.272365805168986,45,13,0.288888888888889,A.J. Pierzynski,0.279979426484655
poseb001,0.294230769230769,49,11,0.224489795918367,Buster Posey,0.268469550336066
pradm001,0.282430213464696,71,17,0.23943661971831,Martin Prado,0.268334643259502
ramia003,0.28414442700157,55,18,0.327272727272727,Alexei Ramirez,0.288414419446091
riosa002,0.277597402597403,61,21,0.344262295081967,Alexis Rios,0.292372215475455
rollj001,0.251666666666667,65,16,0.246153846153846,Jimmy Rollins,0.270457492472289
sandp001,0.278095238095238,62,17,0.274193548387097,Pablo Sandoval,0.277295868313391
santc002,0.268022181146026,40,15,0.375,Carlos Santana,0.293588296826745
seguj002,0.29421768707483,53,20,0.377358490566038,Jean Segura,0.298269267282939
simma001,0.247524752475248,51,10,0.196078431372549,Andrelton Simmons,0.262448814924611
soria001,0.25473321858864,60,18,0.3,Alfonso Soriano,0.282288198097527
spand001,0.278688524590164,52,16,0.307692307692308,Denard Span,0.28435588375961
suzui001,0.261538461538462,47,10,0.212765957446809,Ichiro Suzuki,0.266427900806593
swisn001,0.245901639344262,51,14,0.274509803921569,Nick Swisher,0.277543234154464
trumm001,0.233870967741935,62,20,0.32258064516129,Mark Trumbo,0.288040641081622
uptoj001,0.263440860215054,61,19,0.311475409836066,Justin Upton,0.285271195328298
vottj001,0.304647160068847,53,14,0.264150943396226,Joey Votto,0.275056789772222
wietm001,0.235181644359465,51,12,0.235294117647059,Matt Wieters,0.268824633274902
youne003,0.24860853432282,38,11,0.289473684210526,Eric Young,0.279118190311321
younm003,0.279383429672447,59,20,0.338983050847458,Michael Young,0.291124325376761
zimmr001,0.274647887323944,53,12,0.226415094339623,Ryan Zimmerman,0.267935504307663
zobrb001,0.274509803921569,56,16,0.285714285714286,Ben Zobrist,0.279290438568756
